                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.25873,                0.83392,                0.99126,                0.64944,              0.0033306,              0.0033306,              0.0033306
                      2,                0.12484,                0.89685,                0.98951,                0.59112,               0.006532,               0.006532,               0.006532
                      3,                0.07949,                0.88636,                      1,                0.58472,              0.0096014,              0.0096014,              0.0096014
                      4,                0.06309,                0.88112,                0.99301,                0.58466,               0.009406,               0.009406,               0.009406
                      5,                0.03817,                0.89685,                0.98951,                0.57083,               0.009406,               0.009406,               0.009406
                      6,                0.02518,                0.90909,                0.99301,                0.56706,               0.009208,               0.009208,               0.009208
                      7,                0.01684,                0.91259,                0.99301,                0.56502,                0.00901,                0.00901,                0.00901
                      8,                0.01498,                0.91259,                0.99301,                0.56394,               0.008812,               0.008812,               0.008812
                      9,                0.01319,                0.91608,                0.99301,                0.55893,               0.008614,               0.008614,               0.008614
                     10,                0.01011,                0.90909,                0.99301,                0.56335,               0.008416,               0.008416,               0.008416
                     11,                0.00784,                0.91608,                0.98951,                0.56129,               0.008218,               0.008218,               0.008218
                     12,                0.00957,                0.91259,                0.99476,                0.56228,                0.00802,                0.00802,                0.00802
                     13,                0.00742,                0.91783,                0.99301,                0.56182,               0.007822,               0.007822,               0.007822
                     14,                0.00392,                0.92133,                 0.9965,                0.55699,               0.007624,               0.007624,               0.007624
                     15,                 0.0023,                0.91783,                0.99476,                0.55698,               0.007426,               0.007426,               0.007426
                     16,                 0.0026,                0.92483,                0.99476,                0.55534,               0.007228,               0.007228,               0.007228
                     17,                0.00254,                0.92308,                0.99301,                0.55575,                0.00703,                0.00703,                0.00703
                     18,                0.00385,                0.92133,                0.99126,                0.55618,               0.006832,               0.006832,               0.006832
                     19,                0.00198,                0.92483,                0.99476,                0.55573,               0.006634,               0.006634,               0.006634
                     20,                0.00234,                0.91958,                0.98951,                0.56049,               0.006436,               0.006436,               0.006436
                     21,                0.00194,                0.92483,                0.98951,                0.55688,               0.006238,               0.006238,               0.006238
                     22,                0.00208,                0.91608,                0.99126,                0.55924,                0.00604,                0.00604,                0.00604
                     23,                0.00146,                0.92832,                0.99301,                0.55495,               0.005842,               0.005842,               0.005842
                     24,                0.00122,                0.92308,                0.98951,                0.55764,               0.005644,               0.005644,               0.005644
                     25,                0.00095,                0.92308,                0.98951,                 0.5558,               0.005446,               0.005446,               0.005446
                     26,                0.00089,                0.91783,                0.98951,                0.55782,               0.005248,               0.005248,               0.005248
                     27,                0.00104,                0.92308,                0.98776,                0.55671,                0.00505,                0.00505,                0.00505
                     28,                0.00082,                0.92308,                0.99126,                0.55575,               0.004852,               0.004852,               0.004852
                     29,                0.00109,                0.93007,                0.99301,                0.55423,               0.004654,               0.004654,               0.004654
                     30,                0.00083,                0.92483,                0.99301,                0.55534,               0.004456,               0.004456,               0.004456
                     31,                0.00074,                0.92308,                0.99126,                0.55591,               0.004258,               0.004258,               0.004258
                     32,                0.00081,                0.92308,                0.99126,                 0.5577,                0.00406,                0.00406,                0.00406
                     33,                0.00066,                0.92308,                0.99301,                0.55732,               0.003862,               0.003862,               0.003862
                     34,                0.00069,                0.91783,                0.99126,                 0.5564,               0.003664,               0.003664,               0.003664
                     35,                0.00063,                0.91783,                0.99126,                0.55675,               0.003466,               0.003466,               0.003466
                     36,                0.00062,                0.91783,                0.99126,                0.55718,               0.003268,               0.003268,               0.003268
                     37,                0.00062,                0.91958,                0.99126,                0.55714,                0.00307,                0.00307,                0.00307
                     38,                0.00062,                0.91958,                0.99126,                0.55694,               0.002872,               0.002872,               0.002872
                     39,                0.00061,                0.91958,                0.99126,                0.55695,               0.002674,               0.002674,               0.002674
                     40,                0.00057,                0.91783,                0.99126,                0.55703,               0.002476,               0.002476,               0.002476
                     41,                0.00064,                0.91958,                0.99126,                0.55702,               0.002278,               0.002278,               0.002278
                     42,                0.00062,                0.91958,                0.99126,                0.55697,                0.00208,                0.00208,                0.00208
                     43,                0.00061,                0.92308,                0.99126,                0.55663,               0.001882,               0.001882,               0.001882
                     44,                0.00056,                0.92133,                0.99126,                0.55645,               0.001684,               0.001684,               0.001684
                     45,                0.00056,                0.92133,                0.99126,                0.55632,               0.001486,               0.001486,               0.001486
                     46,                0.00055,                0.92133,                0.99126,                0.55636,               0.001288,               0.001288,               0.001288
                     47,                0.00052,                0.92133,                0.99126,                0.55644,                0.00109,                0.00109,                0.00109
                     48,                0.00057,                0.92133,                0.99126,                0.55648,               0.000892,               0.000892,               0.000892
                     49,                0.00054,                0.91958,                0.99126,                0.55645,               0.000694,               0.000694,               0.000694
                     50,                0.00055,                0.91958,                0.99126,                0.55656,               0.000496,               0.000496,               0.000496
