                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.25315,                0.86713,                      1,                0.54976,             0.00023721,             0.00023721,             0.00023721
                      2,                0.07607,                0.93706,                0.99301,                0.51118,             0.00046476,             0.00046476,             0.00046476
                      3,                0.03878,                0.93706,                      1,                0.50703,             0.00068183,             0.00068183,             0.00068183
                      4,                0.02796,                0.93007,                0.99301,                0.50356,             0.00066688,             0.00066688,             0.00066688
                      5,                0.01629,                0.92308,                0.98601,                0.49805,             0.00066688,             0.00066688,             0.00066688
                      6,                0.01027,                0.95105,                0.99301,                0.49648,             0.00065117,             0.00065117,             0.00065117
                      7,                0.00668,                0.90909,                0.99301,                0.50405,             0.00063546,             0.00063546,             0.00063546
                      8,                0.00536,                0.94406,                0.99301,                0.49673,             0.00061975,             0.00061975,             0.00061975
                      9,                0.00494,                0.93706,                0.99301,                0.49883,             0.00060404,             0.00060404,             0.00060404
                     10,                0.00595,                0.91608,                      1,                0.50332,             0.00058834,             0.00058834,             0.00058834
                     11,                0.00468,                0.93007,                      1,                0.50269,             0.00057263,             0.00057263,             0.00057263
                     12,                0.00192,                0.93007,                0.99301,                0.49653,             0.00055692,             0.00055692,             0.00055692
                     13,                0.00346,                0.95105,                0.99301,                0.49565,             0.00054121,             0.00054121,             0.00054121
                     14,                0.00233,                0.97203,                0.99301,                0.48899,              0.0005255,              0.0005255,              0.0005255
                     15,                0.00145,                0.94406,                0.99301,                0.49453,              0.0005098,              0.0005098,              0.0005098
                     16,                 0.0005,                0.95105,                0.99301,                0.49272,             0.00049409,             0.00049409,             0.00049409
                     17,                0.00024,                0.94406,                0.99301,                0.49365,             0.00047838,             0.00047838,             0.00047838
                     18,                0.00066,                0.95804,                0.99301,                0.48906,             0.00046267,             0.00046267,             0.00046267
                     19,                0.00093,                0.95105,                0.99301,                 0.4895,             0.00044696,             0.00044696,             0.00044696
                     20,                 0.0004,                0.94406,                0.99301,                0.49023,             0.00043126,             0.00043126,             0.00043126
                     21,                 0.0006,                0.94406,                0.99301,                0.49224,             0.00041555,             0.00041555,             0.00041555
                     22,                0.00134,                0.95804,                0.99301,                0.48921,             0.00039984,             0.00039984,             0.00039984
                     23,                0.00021,                0.95105,                0.99301,                0.49312,             0.00038413,             0.00038413,             0.00038413
                     24,                0.00022,                0.95105,                0.99301,                0.49116,             0.00036842,             0.00036842,             0.00036842
                     25,                0.00017,                0.95804,                0.99301,                0.49014,             0.00035272,             0.00035272,             0.00035272
                     26,                0.00015,                0.95105,                0.99301,                0.48789,             0.00033701,             0.00033701,             0.00033701
                     27,                0.00021,                0.94406,                0.99301,                0.49165,              0.0003213,              0.0003213,              0.0003213
                     28,                0.00041,                0.93706,                0.99301,                0.49282,             0.00030559,             0.00030559,             0.00030559
                     29,                  0.002,                0.91608,                      1,                0.50098,             0.00028988,             0.00028988,             0.00028988
                     30,                0.00172,                0.95105,                      1,                0.49087,             0.00027418,             0.00027418,             0.00027418
                     31,                0.00065,                0.93706,                0.99301,                0.49102,             0.00025847,             0.00025847,             0.00025847
                     32,                0.00031,                0.94406,                      1,                0.49346,             0.00024276,             0.00024276,             0.00024276
                     33,                0.00023,                0.94406,                0.99301,                0.49272,             0.00022705,             0.00022705,             0.00022705
                     34,                0.00019,                0.94406,                      1,                0.49297,             0.00021134,             0.00021134,             0.00021134
                     35,                0.00042,                0.94406,                      1,                0.49231,             0.00019564,             0.00019564,             0.00019564
                     36,                  6e-05,                0.94406,                      1,                0.49204,             0.00017993,             0.00017993,             0.00017993
                     37,                  9e-05,                0.95105,                      1,                0.49385,             0.00016422,             0.00016422,             0.00016422
                     38,                  9e-05,                0.94406,                      1,                0.49346,             0.00014851,             0.00014851,             0.00014851
                     39,                  5e-05,                0.94406,                      1,                0.49419,              0.0001328,              0.0001328,              0.0001328
                     40,                  5e-05,                0.95105,                      1,                0.49365,              0.0001171,              0.0001171,              0.0001171
                     41,                  4e-05,                0.95105,                      1,                0.49351,             0.00010139,             0.00010139,             0.00010139
                     42,                  5e-05,                0.95105,                      1,                0.49346,              8.568e-05,              8.568e-05,              8.568e-05
                     43,                  6e-05,                0.95105,                      1,                0.49297,             6.9972e-05,             6.9972e-05,             6.9972e-05
                     44,                  3e-05,                0.95105,                      1,                0.49365,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     45,                  4e-05,                0.95105,                      1,                0.49272,             3.8556e-05,             3.8556e-05,             3.8556e-05
