                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1463,                 2.6222,                 1.2319,                0.72386,                0.39172,                0.60416,                0.44518,                0.92975,                 2.1048,                0.99248,             0.00041132,             0.00041132,             0.00041132
                      2,                 1.0411,                 1.7171,                 1.1208,                0.69216,                0.66717,                0.80536,                0.57755,                 1.0725,                 1.6394,                 1.1171,              0.0008116,              0.0008116,              0.0008116
                      3,                 1.0182,                 1.4863,                 1.1162,                0.74411,                0.71476,                0.77367,                 0.5367,                 1.1218,                 1.6902,                  1.194,              0.0011954,              0.0011954,              0.0011954
                      4,                 1.0546,                 1.4382,                 1.1318,                0.79815,                0.64245,                0.79489,                0.56417,                 1.0121,                 1.9951,                 1.1128,              0.0011757,              0.0011757,              0.0011757
                      5,                0.99631,                 1.2723,                 1.1004,                0.78042,                0.74139,                 0.8108,                0.59541,                0.96784,                 1.1357,                 1.0433,              0.0011757,              0.0011757,              0.0011757
                      6,                0.99577,                 1.2274,                 1.0982,                0.88768,                0.71703,                0.84685,                0.61033,                 1.0802,                 1.4925,                  1.124,               0.001151,               0.001151,               0.001151
                      7,                0.94535,                 1.1328,                 1.0815,                0.81175,                0.82059,                0.83526,                0.60116,                 0.9555,                 1.1731,                 1.0833,              0.0011263,              0.0011263,              0.0011263
                      8,                0.92812,                 1.0837,                 1.0698,                0.81585,                0.81639,                0.86685,                0.66496,                 0.8651,                0.96252,                 1.0024,              0.0011015,              0.0011015,              0.0011015
                      9,                0.92104,                 1.0226,                 1.0613,                0.79659,                0.79865,                0.86093,                0.63932,                0.85089,                0.87284,                0.98618,              0.0010768,              0.0010768,              0.0010768
                     10,                 0.8955,                0.98029,                 1.0494,                 0.9301,                0.76429,                0.86466,                 0.6705,                0.84373,                0.94147,                 1.0404,               0.001052,               0.001052,               0.001052
                     11,                0.87526,                0.95616,                 1.0544,                0.90806,                0.84108,                 0.9076,                0.68954,                 0.7796,                0.75815,                0.99196,              0.0010273,              0.0010273,              0.0010273
                     12,                0.86002,                0.90945,                 1.0376,                 0.8189,                0.84488,                0.87165,                0.65335,                0.86412,                0.98599,                 1.0155,              0.0010025,              0.0010025,              0.0010025
                     13,                0.84029,                 0.8608,                 1.0274,                0.91748,                0.76483,                0.89443,                0.66396,                 0.9178,                0.81567,                 1.0306,             0.00097775,             0.00097775,             0.00097775
                     14,                0.83058,                0.84119,                 1.0248,                0.77881,                0.86924,                0.89991,                0.68925,                0.82974,                0.87406,                0.99135,               0.000953,               0.000953,               0.000953
                     15,                0.79707,                0.80623,                 1.0187,                0.85836,                0.81882,                0.90085,                0.69514,                0.78835,                0.80324,                0.99605,             0.00092825,             0.00092825,             0.00092825
                     16,                 0.8294,                0.82534,                 1.0293,                0.93208,                0.86235,                0.93928,                0.74203,                0.80808,                0.70169,                0.95131,              0.0009035,              0.0009035,              0.0009035
                     17,                0.77206,                0.79311,                 1.0038,                0.82704,                0.88182,                  0.926,                0.71566,                0.81302,                0.71891,                0.98887,             0.00087875,             0.00087875,             0.00087875
                     18,                0.80553,                0.77774,                 1.0159,                0.87822,                0.84808,                0.93886,                 0.7397,                0.79438,                0.66945,                 0.9934,               0.000854,               0.000854,               0.000854
                     19,                0.77168,                0.74636,                 1.0061,                0.87888,                0.81496,                0.92486,                0.72072,                0.76716,                0.74037,                0.96325,             0.00082925,             0.00082925,             0.00082925
                     20,                0.76408,                0.71854,                0.99976,                0.88192,                 0.8872,                0.94064,                 0.7345,                0.79388,                0.63565,                0.95817,              0.0008045,              0.0008045,              0.0008045
                     21,                0.76352,                 0.7106,                 1.0012,                0.84873,                 0.8567,                0.92006,                0.72066,                0.77176,                 0.6531,                 0.9558,             0.00077975,             0.00077975,             0.00077975
                     22,                0.75766,                0.69412,                0.99029,                0.89969,                0.84417,                0.92931,                0.73754,                0.74227,                0.63063,                0.94701,               0.000755,               0.000755,               0.000755
                     23,                0.72872,                0.67267,                 0.9863,                0.87599,                0.82393,                0.89219,                  0.713,                0.79537,                0.71111,                0.97315,             0.00073025,             0.00073025,             0.00073025
