                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8624,                 3.5603,                 1.5332,                0.95013,                0.05337,                0.31181,                0.15183,                 1.5825,                 2.8737,                 1.2973,             0.00040799,             0.00040799,             0.00040799
                      2,                 1.6895,                 2.3982,                 1.4188,                 0.5918,                 0.6454,                0.59516,                0.23155,                 1.7171,                 2.2071,                 1.3697,             0.00080832,             0.00080832,             0.00080832
                      3,                 1.7018,                 2.1917,                 1.4417,                0.25468,                0.34172,                0.29371,                0.12549,                 1.9568,                 3.3204,                 1.7495,              0.0011922,              0.0011922,              0.0011922
                      4,                 1.7132,                 1.9238,                 1.4433,                0.61911,                0.68873,                0.68426,                0.41034,                 1.6632,                 2.0789,                 1.4888,              0.0011757,              0.0011757,              0.0011757
                      5,                  1.693,                 1.8299,                 1.4307,                0.72289,                0.69934,                0.70114,                0.39647,                 1.6606,                 1.6611,                 1.4624,              0.0011757,              0.0011757,              0.0011757
                      6,                 1.6637,                 1.7112,                 1.4276,                0.65094,                0.72418,                 0.7622,                0.43968,                 1.5757,                 1.4601,                 1.3953,               0.001151,               0.001151,               0.001151
                      7,                 1.6463,                 1.6267,                 1.3934,                0.59985,                0.69431,                0.66654,                0.39193,                 1.5836,                  1.495,                  1.399,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.6836,                 1.7062,                 1.4522,                0.82758,                0.73479,                0.79761,                 0.4213,                 1.7254,                 1.4205,                 1.4748,              0.0011015,              0.0011015,              0.0011015
                      9,                  1.615,                 1.4466,                  1.376,                0.76971,                0.78406,                0.83155,                0.46263,                 1.5634,                 1.2356,                 1.3658,              0.0010768,              0.0010768,              0.0010768
                     10,                 1.5716,                 1.3647,                  1.339,                0.80591,                0.71084,                0.78212,                0.44053,                  1.709,                 1.3115,                 1.4607,               0.001052,               0.001052,               0.001052
                     11,                 1.5597,                 1.3358,                 1.3502,                0.83846,                0.71838,                0.78481,                0.46862,                 1.6333,                 1.2946,                  1.393,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.5441,                 1.2755,                 1.3329,                 0.7877,                 0.7578,                0.80426,                0.45531,                 1.5539,                  1.189,                 1.3746,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.5113,                 1.2339,                 1.3232,                0.77685,                0.77351,                0.81709,                0.48611,                 1.5405,                 1.1677,                 1.3499,             0.00097775,             0.00097775,             0.00097775
                     14,                 1.5006,                 1.2021,                  1.326,                0.85422,                0.72996,                0.81075,                0.40845,                 1.5147,                 1.1464,                  1.339,               0.000953,               0.000953,               0.000953
                     15,                  1.491,                 1.1355,                 1.2966,                0.83023,                0.74301,                0.80642,                0.48978,                 1.5641,                 1.1363,                 1.3796,             0.00092825,             0.00092825,             0.00092825
                     16,                 1.4616,                 1.1099,                  1.294,                 0.8095,                0.77973,                0.86534,                0.48993,                 1.5444,                 1.0935,                 1.3545,              0.0009035,              0.0009035,              0.0009035
                     17,                 1.4644,                 1.0657,                 1.2919,                0.89285,                0.75451,                0.83879,                 0.4777,                 1.5959,                 1.0839,                 1.3695,             0.00087875,             0.00087875,             0.00087875
                     18,                 1.4969,                 1.1031,                 1.2924,                0.84986,                0.77108,                0.85734,                0.48622,                 1.5281,                 1.0604,                 1.3451,               0.000854,               0.000854,               0.000854
                     19,                 1.4538,                 1.0218,                 1.2837,                0.86882,                0.74791,                0.81258,                0.43351,                 1.5955,                 1.0929,                 1.3659,             0.00082925,             0.00082925,             0.00082925
                     20,                 1.4432,                 1.0072,                 1.2793,                0.81715,                0.79239,                0.83275,                0.45237,                 1.6233,                 1.0904,                 1.4007,              0.0008045,              0.0008045,              0.0008045
                     21,                 1.4402,                 1.0114,                 1.2806,                0.81821,                0.78223,                0.82652,                0.49523,                 1.5838,                 1.0654,                 1.3816,             0.00077975,             0.00077975,             0.00077975
                     22,                 1.3823,                0.96041,                 1.2439,                0.88687,                 0.7713,                0.82818,                0.48521,                 1.5998,                 1.0513,                 1.3609,               0.000755,               0.000755,               0.000755
                     23,                 1.3922,                 0.9367,                 1.2291,                0.92316,                0.77609,                0.87337,                0.49374,                 1.5319,                 0.9849,                  1.355,             0.00073025,             0.00073025,             0.00073025
                     24,                 1.3482,                0.92582,                 1.2212,                0.92197,                0.77744,                 0.8552,                0.48653,                 1.5753,                0.98146,                 1.3941,              0.0007055,              0.0007055,              0.0007055
                     25,                 1.3913,                0.90077,                 1.2448,                0.88493,                0.84065,                0.87557,                0.48607,                 1.5939,                0.91295,                 1.3694,             0.00068075,             0.00068075,             0.00068075
                     26,                 1.3884,                0.90561,                 1.2525,                 0.8695,                0.80513,                0.86907,                0.50151,                 1.5683,                0.97365,                 1.3769,               0.000656,               0.000656,               0.000656
                     27,                 1.3363,                 0.8813,                 1.2259,                0.90886,                0.85755,                0.90617,                0.51421,                 1.5895,                0.85016,                 1.3701,             0.00063125,             0.00063125,             0.00063125
                     28,                 1.3297,                0.86382,                 1.2442,                0.93702,                0.81965,                 0.9066,                0.50788,                 1.5978,                0.89978,                 1.3882,              0.0006065,              0.0006065,              0.0006065
                     29,                 1.2961,                0.81656,                 1.2094,                0.89669,                0.84113,                0.88484,                0.50789,                 1.5404,                 0.8518,                 1.3528,             0.00058175,             0.00058175,             0.00058175
                     30,                 1.3268,                0.82884,                  1.227,                0.90915,                0.80789,                0.87605,                0.50867,                 1.5246,                0.88385,                 1.3424,               0.000557,               0.000557,               0.000557
                     31,                 1.3244,                0.81124,                  1.206,                0.91139,                0.79814,                0.88471,                0.52826,                   1.59,                0.90754,                 1.3715,             0.00053225,             0.00053225,             0.00053225
                     32,                 1.3104,                0.80025,                 1.2172,                0.90057,                0.84691,                0.88646,                0.53177,                 1.5478,                0.88181,                 1.3495,              0.0005075,              0.0005075,              0.0005075
                     33,                 1.2855,                0.79484,                 1.2298,                0.90529,                0.79229,                0.88087,                0.52033,                 1.6115,                 0.9381,                 1.3824,             0.00048275,             0.00048275,             0.00048275
                     34,                 1.2893,                0.80956,                 1.2185,                 0.9103,                0.85154,                0.88966,                0.53062,                   1.53,                0.85735,                 1.3565,               0.000458,               0.000458,               0.000458
                     35,                 1.2693,                0.77573,                 1.1995,                0.94599,                0.79079,                0.85281,                 0.5183,                 1.5472,                0.94761,                 1.3526,             0.00043325,             0.00043325,             0.00043325
                     36,                 1.2383,                0.75193,                 1.1659,                  0.948,                 0.7753,                0.85947,                0.49192,                 1.5583,                0.94656,                 1.3639,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.2271,                 0.7704,                 1.1677,                0.93141,                0.80722,                0.87149,                0.51758,                 1.5079,                0.89327,                  1.348,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.2531,                0.77214,                 1.1926,                0.92249,                0.76001,                0.84379,                0.47606,                 1.5634,                0.94373,                 1.3823,               0.000359,               0.000359,               0.000359
                     39,                  1.213,                0.78201,                 1.1713,                0.87017,                0.81188,                0.84904,                 0.4757,                 1.5843,                0.89548,                 1.3984,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.1906,                0.70567,                 1.1523,                0.90124,                0.80768,                0.87386,                0.49918,                 1.5384,                0.86502,                 1.3704,              0.0003095,              0.0003095,              0.0003095
                     41,                 1.2039,                0.72044,                  1.165,                0.88808,                0.81536,                0.86912,                0.52024,                 1.5201,                0.92278,                 1.3516,             0.00028475,             0.00028475,             0.00028475
                     42,                 1.1627,                0.69396,                 1.1531,                0.89867,                0.81923,                 0.8834,                0.52559,                 1.5955,                0.83415,                 1.3968,                0.00026,                0.00026,                0.00026
                     43,                 1.1213,                0.63664,                 1.1355,                0.88402,                0.81567,                0.86655,                0.51077,                 1.5875,                0.89761,                 1.3995,             0.00023525,             0.00023525,             0.00023525
                     44,                 1.1219,                0.63514,                 1.1384,                0.87554,                0.79543,                0.86607,                0.52547,                 1.5609,                0.90281,                 1.3739,              0.0002105,              0.0002105,              0.0002105
                     45,                 1.1142,                 0.6311,                 1.1378,                0.91397,                0.80075,                0.86617,                0.52144,                 1.5728,                0.86231,                 1.3896,             0.00018575,             0.00018575,             0.00018575
                     46,                 1.1274,                0.66855,                 1.1378,                0.89689,                0.82236,                0.87758,                0.50792,                 1.5856,                0.86605,                 1.3926,               0.000161,               0.000161,               0.000161
                     47,                 1.0622,                0.58967,                 1.0989,                0.93324,                0.80479,                0.88431,                0.53452,                 1.5425,                 0.8181,                 1.3738,             0.00013625,             0.00013625,             0.00013625
                     48,                 1.1084,                0.61295,                 1.1272,                0.91475,                0.79894,                0.87365,                0.50719,                 1.5458,                 0.8346,                 1.3736,              0.0001115,              0.0001115,              0.0001115
                     49,                 1.0735,                0.59686,                 1.1065,                0.93558,                0.78204,                0.86584,                0.52898,                 1.5485,                0.86745,                  1.373,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                 1.0385,                 0.5732,                 1.0929,                0.94324,                 0.7784,                0.87062,                0.54825,                 1.5469,                0.83148,                  1.371,                6.2e-05,                6.2e-05,                6.2e-05
