                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.001,                 2.4939,                 1.2428,                 0.9038,                0.42764,                0.61409,                0.47626,                0.98169,                 1.6092,                 1.2141,             0.00041291,             0.00041291,             0.00041291
                      2,                0.91873,                 1.6169,                 1.1399,                0.78299,                0.52784,                 0.6958,                0.52515,                0.95376,                 2.0175,                 1.1638,             0.00078852,             0.00078852,             0.00078852
                      3,                0.86531,                  1.413,                 1.1087,                0.60762,                0.52267,                0.58748,                0.45282,                 1.0025,                 2.0975,                 1.2487,              0.0011229,              0.0011229,              0.0011229
                      4,                0.84164,                 1.2462,                 1.0974,                0.84429,                0.73495,                0.81235,                0.60347,                  1.009,                 1.4983,                 1.2653,              0.0010644,              0.0010644,              0.0010644
                      5,                 0.8162,                 1.1444,                 1.0771,                0.86694,                0.70224,                0.81733,                0.63039,                0.91826,                 1.0607,                 1.1334,              0.0010644,              0.0010644,              0.0010644
                      6,                0.78013,                  1.092,                  1.076,                0.85305,                0.73511,                0.89185,                0.70153,                0.78434,                0.88933,                 1.0657,              0.0010025,              0.0010025,              0.0010025
                      7,                0.75575,                0.98049,                 1.0478,                0.83324,                0.65885,                0.77511,                0.61499,                0.85857,                0.91754,                 1.1207,             0.00094062,             0.00094062,             0.00094062
                      8,                0.74139,                0.93001,                 1.0462,                0.92842,                0.77886,                0.91247,                0.69722,                0.82978,                0.79491,                 1.0705,             0.00087875,             0.00087875,             0.00087875
                      9,                0.77599,                0.95012,                 1.0633,                0.83922,                0.86726,                0.89115,                0.70921,                0.79407,                0.78936,                 1.0712,             0.00081688,             0.00081688,             0.00081688
                     10,                0.71065,                0.86265,                 1.0348,                0.93294,                0.77883,                0.89665,                0.70553,                0.77203,                0.74932,                 1.0468,               0.000755,               0.000755,               0.000755
                     11,                0.62375,                0.80182,                 1.0083,                0.88939,                0.79463,                0.87867,                0.71372,                0.73467,                0.80651,                 1.0361,             0.00069313,             0.00069313,             0.00069313
                     12,                0.62707,                0.77253,                 1.0212,                0.92895,                0.86183,                0.91255,                 0.7192,                0.83031,                0.69898,                 1.1119,             0.00063125,             0.00063125,             0.00063125
                     13,                0.60639,                0.70675,                0.99771,                0.94765,                0.82215,                0.90971,                0.74525,                0.72365,                0.66401,                 1.0175,             0.00056938,             0.00056938,             0.00056938
                     14,                0.59654,                0.68025,                0.98528,                0.95658,                0.82842,                0.90351,                0.75424,                0.74294,                0.68146,                 1.0177,              0.0005075,              0.0005075,              0.0005075
                     15,                0.55615,                0.60737,                0.95957,                0.95235,                 0.8238,                0.89708,                0.76258,                0.70003,                0.66912,                 1.0116,             0.00044563,             0.00044563,             0.00044563
                     16,                0.54629,                0.60034,                0.96022,                0.90742,                0.86017,                0.90843,                0.74852,                0.69368,                0.64086,                0.98983,             0.00038375,             0.00038375,             0.00038375
                     17,                0.52908,                0.57291,                0.95413,                0.90375,                0.87928,                0.91676,                0.76294,                0.65254,                0.61773,                0.98262,             0.00032188,             0.00032188,             0.00032188
                     18,                0.51664,                0.52981,                0.94544,                0.93022,                0.89704,                 0.9271,                0.76284,                0.70517,                0.59095,                 1.0204,                0.00026,                0.00026,                0.00026
                     19,                0.49865,                0.50719,                 0.9335,                0.93528,                0.87493,                0.93068,                0.77605,                 0.6524,                0.52528,                0.99357,             0.00019813,             0.00019813,             0.00019813
                     20,                0.49087,                0.49327,                0.93632,                0.96189,                0.85445,                 0.9176,                0.76947,                0.68679,                 0.5754,                 1.0154,             0.00013625,             0.00013625,             0.00013625
