                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9024,                 2.4856,                  1.174,                 0.6979,                0.53125,                0.61825,                0.50571,                0.80581,                 1.5472,                 1.0096,             0.00036687,             0.00036687,             0.00036687
                      2,                0.74749,                 1.3821,                 1.0497,                0.65219,                0.71713,                0.78184,                0.59342,                0.84184,                 1.2508,                 1.0784,             0.00070071,             0.00070071,             0.00070071
                      3,                0.77233,                 1.2137,                 1.0513,                0.74502,                0.82849,                0.84147,                0.64531,                 1.0492,                 1.3519,                 1.2355,             0.00099789,             0.00099789,             0.00099789
                      4,                0.76599,                  1.122,                 1.0514,                0.79777,                0.87559,                0.89691,                0.68871,                0.87038,                0.98191,                 1.1536,             0.00094602,             0.00094602,             0.00094602
                      5,                0.76848,                 1.0888,                 1.0444,                0.88573,                0.81981,                0.88638,                0.65569,                0.87738,                0.99364,                 1.1489,             0.00094602,             0.00094602,             0.00094602
                      6,                0.69657,                0.96869,                 1.0147,                 0.9393,                0.81902,                0.91121,                0.71825,                0.76957,                 0.7559,                 1.0707,             0.00089102,             0.00089102,             0.00089102
                      7,                0.68152,                0.87403,                0.99861,                0.85628,                0.78485,                0.91757,                0.69952,                0.79744,                0.75831,                  1.074,             0.00083603,             0.00083603,             0.00083603
                      8,                0.67817,                0.85523,                 1.0116,                0.82801,                0.91474,                0.93316,                0.72704,                0.79244,                0.80079,                 1.0824,             0.00078103,             0.00078103,             0.00078103
                      9,                0.64838,                0.79162,                0.98642,                0.85771,                0.84128,                0.90973,                0.71712,                0.86223,                0.72983,                 1.2162,             0.00072604,             0.00072604,             0.00072604
                     10,                0.63381,                0.73852,                0.98147,                0.93681,                 0.8844,                0.92826,                0.73135,                0.75082,                0.69048,                 1.0365,             0.00067104,             0.00067104,             0.00067104
                     11,                0.55725,                0.68915,                0.95347,                0.87599,                0.84104,                0.91468,                0.73243,                0.77972,                0.73771,                 1.0781,             0.00061605,             0.00061605,             0.00061605
                     12,                0.52648,                0.64565,                0.93537,                0.94198,                0.87577,                0.93114,                0.72754,                0.72707,                0.70402,                 1.0273,             0.00056105,             0.00056105,             0.00056105
                     13,                0.53201,                0.61767,                 0.9407,                0.94623,                0.86624,                0.92668,                 0.7378,                0.79885,                 0.6959,                 1.1208,             0.00050606,             0.00050606,             0.00050606
                     14,                0.51095,                0.58977,                0.93656,                0.95479,                0.85394,                0.93491,                0.74798,                0.77594,                0.61203,                 1.1021,             0.00045107,             0.00045107,             0.00045107
                     15,                0.48804,                 0.5493,                0.92415,                0.93871,                0.86616,                 0.9369,                0.76322,                0.77034,                 0.6535,                 1.0685,             0.00039607,             0.00039607,             0.00039607
                     16,                0.47427,                 0.5143,                0.91094,                0.93824,                0.86516,                0.92563,                0.74101,                0.77704,                0.64608,                 1.1113,             0.00034108,             0.00034108,             0.00034108
                     17,                0.45389,                0.47848,                0.90514,                0.93777,                0.90454,                 0.9376,                0.76963,                0.74834,                0.59312,                 1.1164,             0.00028608,             0.00028608,             0.00028608
                     18,                0.44142,                0.45881,                0.89477,                0.94259,                0.89166,                0.94252,                0.78646,                0.72864,                0.58258,                 1.1316,             0.00023109,             0.00023109,             0.00023109
                     19,                0.42116,                 0.4454,                0.89308,                0.95139,                 0.8832,                0.94161,                0.77521,                0.76345,                0.61277,                 1.1505,             0.00017609,             0.00017609,             0.00017609
                     20,                0.41159,                0.42253,                 0.8861,                0.94831,                0.89912,                0.93836,                0.78723,                0.74399,                 0.5747,                 1.1496,              0.0001211,              0.0001211,              0.0001211
