                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6638,                 2.6737,                 1.5557,                0.66935,                0.52439,                 0.6538,                0.31818,                 1.5595,                 2.0269,                 1.7389,             0.00041455,             0.00041455,             0.00041455
                      2,                 1.5784,                  1.869,                 1.4465,                0.74571,                 0.5506,                0.65633,                0.36622,                 1.5639,                  1.505,                 1.7372,             0.00079007,             0.00079007,             0.00079007
                      3,                 1.5524,                 1.6299,                 1.4495,                0.75439,                0.57373,                0.70033,                0.38642,                 1.5818,                 1.2596,                 1.6696,              0.0011243,              0.0011243,              0.0011243
                      4,                 1.5093,                 1.4332,                 1.4232,                0.83801,                0.63143,                 0.6942,                0.38875,                 1.5489,                 1.5014,                 1.6931,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.4784,                 1.3074,                 1.3911,                0.90498,                0.76545,                 0.8485,                0.53089,                 1.3845,                0.96551,                 1.5262,              0.0010644,              0.0010644,              0.0010644
                      6,                 1.4432,                 1.2326,                 1.3711,                0.90889,                 0.7362,                0.86876,                0.53353,                 1.3459,                 0.8538,                 1.4983,              0.0010025,              0.0010025,              0.0010025
                      7,                 1.4381,                 1.1504,                 1.3624,                0.90385,                 0.7819,                0.86951,                0.51046,                 1.3935,                0.85844,                 1.5242,             0.00094062,             0.00094062,             0.00094062
                      8,                 1.3752,                   1.06,                 1.3199,                 0.9157,                0.84528,                 0.8864,                 0.5534,                 1.3188,                0.77598,                 1.4433,             0.00087875,             0.00087875,             0.00087875
                      9,                 1.3618,                 1.0367,                  1.316,                0.94618,                0.84415,                0.88773,                0.57273,                 1.3026,                0.74279,                 1.4849,             0.00081688,             0.00081688,             0.00081688
                     10,                 1.3598,                0.98593,                 1.3121,                0.82502,                0.84077,                 0.8765,                0.53104,                 1.2824,                0.78569,                 1.4299,               0.000755,               0.000755,               0.000755
                     11,                  1.335,                0.94817,                 1.3376,                0.93802,                0.84049,                0.89337,                0.55415,                 1.3796,                 0.7366,                 1.5015,             0.00069313,             0.00069313,             0.00069313
                     12,                 1.3005,                0.88852,                 1.3163,                0.94163,                0.84999,                0.89948,                0.56551,                 1.2851,                0.68067,                 1.4347,             0.00063125,             0.00063125,             0.00063125
                     13,                 1.2852,                0.84609,                 1.3006,                0.93825,                0.86472,                0.89938,                0.57398,                  1.276,                0.65116,                 1.4633,             0.00056938,             0.00056938,             0.00056938
                     14,                 1.2314,                0.79236,                 1.2818,                0.96373,                0.87041,                0.90958,                0.58026,                 1.2848,                0.61781,                 1.4438,              0.0005075,              0.0005075,              0.0005075
                     15,                 1.2385,                0.78007,                 1.2791,                0.94115,                0.86693,                0.90491,                0.57541,                 1.2474,                0.63048,                 1.3987,             0.00044563,             0.00044563,             0.00044563
                     16,                 1.1992,                 0.7396,                 1.2634,                 0.9026,                0.84896,                0.88789,                 0.5857,                 1.2529,                0.61328,                 1.4019,             0.00038375,             0.00038375,             0.00038375
                     17,                 1.1998,                0.71285,                 1.2582,                0.95419,                0.85904,                0.90221,                0.59965,                 1.2865,                 0.5956,                 1.4719,             0.00032188,             0.00032188,             0.00032188
                     18,                 1.1608,                0.69085,                  1.237,                0.95731,                0.86478,                0.90212,                0.58158,                 1.2539,                0.57525,                 1.4323,                0.00026,                0.00026,                0.00026
                     19,                 1.1321,                0.66748,                 1.2229,                0.94939,                0.86679,                0.90157,                0.58983,                 1.2341,                 0.5518,                 1.4223,             0.00019813,             0.00019813,             0.00019813
                     20,                  1.114,                0.63482,                 1.2125,                0.95195,                0.86607,                0.90922,                0.59991,                 1.2289,                0.55353,                  1.407,             0.00013625,             0.00013625,             0.00013625
