                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6921,                 2.7626,                 1.5947,                0.66759,                0.65822,                0.68355,                0.34645,                 1.5969,                 1.9881,                 1.7159,             0.00041455,             0.00041455,             0.00041455
                      2,                 1.6002,                  1.926,                 1.4936,                0.51239,                0.63158,                0.64297,                0.36341,                 1.5502,                 1.6645,                 1.7611,             0.00079007,             0.00079007,             0.00079007
                      3,                 1.5825,                 1.6824,                 1.4859,                0.77733,                0.66473,                0.70382,                 0.3753,                 1.6056,                 1.4005,                 1.9295,              0.0011243,              0.0011243,              0.0011243
                      4,                 1.5286,                 1.4724,                 1.4395,                0.73644,                0.64721,                0.74015,                0.40915,                 1.5182,                 1.3057,                 1.6606,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.4983,                 1.3698,                 1.4174,                0.92431,                0.71316,                 0.8228,                0.45997,                 1.5405,                 1.0711,                 1.6317,              0.0010644,              0.0010644,              0.0010644
                      6,                  1.472,                  1.272,                 1.3963,                0.79941,                0.71135,                0.80992,                0.45947,                 1.4238,                0.92981,                 1.5289,              0.0010025,              0.0010025,              0.0010025
                      7,                 1.4521,                 1.1867,                  1.378,                0.91338,                0.81192,                0.87582,                0.53535,                 1.3604,                0.84965,                 1.4977,             0.00094062,             0.00094062,             0.00094062
                      8,                 1.4093,                 1.1153,                  1.354,                0.81338,                0.86899,                0.86895,                0.50821,                 1.4542,                0.82994,                   1.57,             0.00087875,             0.00087875,             0.00087875
                      9,                 1.3755,                 1.0617,                 1.3239,                 0.8905,                0.82094,                0.85547,                0.50544,                 1.4003,                0.86324,                 1.5946,             0.00081688,             0.00081688,             0.00081688
                     10,                 1.3746,                  1.017,                 1.3265,                0.81795,                0.87549,                0.87752,                0.53663,                 1.2762,                0.71399,                 1.4544,               0.000755,               0.000755,               0.000755
                     11,                 1.3549,                0.96929,                 1.3565,                0.91032,                0.81077,                0.88714,                0.54643,                  1.325,                0.75927,                 1.4689,             0.00069313,             0.00069313,             0.00069313
                     12,                 1.3332,                 0.9441,                 1.3568,                0.88623,                0.76039,                0.84201,                0.49877,                 1.3447,                0.76031,                 1.5033,             0.00063125,             0.00063125,             0.00063125
                     13,                 1.3058,                0.87277,                 1.3215,                0.95885,                 0.8452,                0.90345,                0.58667,                 1.2602,                0.67225,                 1.4046,             0.00056938,             0.00056938,             0.00056938
                     14,                 1.2798,                0.83725,                 1.3116,                0.93021,                0.86779,                0.90184,                0.58628,                 1.2687,                0.66512,                 1.4353,              0.0005075,              0.0005075,              0.0005075
                     15,                 1.2393,                0.78651,                 1.2801,                0.94267,                 0.8545,                0.89731,                0.58209,                 1.2447,                 0.6278,                 1.4047,             0.00044563,             0.00044563,             0.00044563
                     16,                 1.2134,                0.76505,                 1.2737,                0.95655,                0.86659,                0.90965,                0.57464,                 1.2696,                0.62051,                 1.4295,             0.00038375,             0.00038375,             0.00038375
                     17,                 1.1969,                0.73778,                 1.2651,                0.95191,                0.86046,                0.90171,                0.58562,                 1.2691,                0.58255,                 1.4305,             0.00032188,             0.00032188,             0.00032188
                     18,                 1.1729,                0.70599,                 1.2488,                 0.9532,                0.84163,                0.90612,                0.60819,                 1.2507,                0.59214,                 1.4263,                0.00026,                0.00026,                0.00026
                     19,                 1.1347,                0.67754,                 1.2332,                0.94869,                0.86549,                0.90433,                0.61805,                 1.2302,                0.57739,                 1.4168,             0.00019813,             0.00019813,             0.00019813
                     20,                  1.106,                0.65457,                 1.2184,                0.95124,                0.86958,                0.90358,                0.60169,                 1.2295,                0.56935,                  1.386,             0.00013625,             0.00013625,             0.00013625
