                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6555,                 2.6775,                 1.5515,                0.67534,                0.56559,                0.64222,                0.36084,                 1.5567,                 1.8223,                 1.6269,             0.00041455,             0.00041455,             0.00041455
                      2,                 1.5635,                  1.861,                 1.4497,                0.76233,                0.64134,                0.71139,                0.38942,                  1.531,                 1.4641,                 1.6992,             0.00079007,             0.00079007,             0.00079007
                      3,                 1.5494,                 1.6232,                 1.4533,                0.82041,                0.69605,                 0.7684,                0.46407,                 1.3579,                 1.1712,                 1.5203,              0.0011243,              0.0011243,              0.0011243
                      4,                 1.5006,                 1.4312,                  1.412,                0.81282,                0.74969,                0.79428,                0.47906,                 1.4265,                 1.0892,                 1.5568,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.4974,                 1.3381,                 1.4018,                0.88523,                0.79752,                0.85722,                0.53386,                 1.3696,                 0.9127,                 1.5438,              0.0010644,              0.0010644,              0.0010644
                      6,                  1.461,                 1.2164,                 1.3849,                0.86444,                0.70382,                0.80906,                0.46748,                 1.3687,                0.96007,                 1.5145,              0.0010025,              0.0010025,              0.0010025
                      7,                 1.4424,                 1.1794,                 1.3673,                0.88996,                0.82469,                0.87433,                 0.5232,                  1.359,                0.84499,                 1.4798,             0.00094062,             0.00094062,             0.00094062
                      8,                 1.3878,                 1.0783,                 1.3352,                0.93566,                0.85427,                0.88761,                0.54196,                 1.3686,                0.76671,                 1.4775,             0.00087875,             0.00087875,             0.00087875
                      9,                 1.3574,                 1.0248,                 1.3116,                0.93707,                0.84975,                0.88991,                0.54275,                 1.3936,                0.77015,                 1.5314,             0.00081688,             0.00081688,             0.00081688
                     10,                  1.361,                0.99288,                 1.3172,                0.93117,                0.84534,                0.89009,                0.58765,                 1.2676,                0.69805,                 1.4354,               0.000755,               0.000755,               0.000755
                     11,                 1.3352,                0.94003,                 1.3377,                 0.9486,                0.85635,                0.89656,                0.57831,                 1.2763,                0.66343,                 1.4127,             0.00069313,             0.00069313,             0.00069313
                     12,                 1.3137,                0.90771,                 1.3305,                0.92246,                0.86063,                0.89672,                0.59451,                 1.2302,                0.66174,                 1.4033,             0.00063125,             0.00063125,             0.00063125
                     13,                 1.2811,                 0.8533,                 1.2917,                0.94318,                0.84616,                0.90758,                0.60178,                 1.2336,                0.62942,                 1.3909,             0.00056938,             0.00056938,             0.00056938
                     14,                 1.2466,                0.80222,                 1.2848,                0.94326,                0.85593,                0.89985,                0.57781,                 1.2494,                0.63271,                 1.3973,              0.0005075,              0.0005075,              0.0005075
                     15,                 1.2384,                0.79013,                 1.2751,                0.92655,                0.84297,                0.89631,                0.60199,                 1.2323,                 0.6016,                 1.3801,             0.00044563,             0.00044563,             0.00044563
                     16,                 1.2055,                0.75506,                 1.2576,                0.94879,                0.85684,                0.90904,                0.63087,                 1.1803,                0.57007,                  1.358,             0.00038375,             0.00038375,             0.00038375
                     17,                 1.1837,                0.72419,                 1.2535,                0.94782,                0.85852,                0.90628,                0.61563,                 1.2104,                0.57001,                 1.3828,             0.00032188,             0.00032188,             0.00032188
                     18,                 1.1633,                0.69321,                 1.2374,                0.95873,                0.84203,                0.89614,                0.61297,                 1.1905,                0.55977,                 1.3803,                0.00026,                0.00026,                0.00026
                     19,                 1.1215,                0.67004,                 1.2191,                0.95672,                0.84452,                0.90559,                0.63467,                 1.1719,                0.55148,                 1.3611,             0.00019813,             0.00019813,             0.00019813
                     20,                 1.1047,                0.63843,                 1.2059,                0.96465,                0.84694,                0.90715,                0.63286,                 1.1686,                0.54351,                 1.3432,             0.00013625,             0.00013625,             0.00013625
