                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87617,                 2.1616,                 1.7332,                 1.1966,                0.84519,                0.69832,                0.80616,                0.57224,                0.79694,                 0.7093,                0.79687,                0.55768,                 0.8714,                 1.5195,                 2.0216,                 1.3811,             0.00065185,             0.00065185,             0.00065185
                      2,                0.90556,                  1.736,                 1.2402,                 1.2188,                0.74542,                0.71502,                 0.8326,                0.49393,                 0.7333,                 0.7034,                0.82332,                0.61373,                 1.2726,                  1.243,                 1.8594,                 2.2077,              0.0012663,              0.0012663,              0.0012663
                      3,                0.97524,                 1.8541,                 1.2593,                 1.2647,                0.67854,                0.83721,                0.78649,                0.44926,                0.67854,                0.83721,                0.78814,                0.46612,                 1.2361,                 1.8445,                   3.18,                 1.8329,               0.001828,               0.001828,               0.001828
                      4,                0.99453,                 1.8522,                 1.1725,                 1.2762,                 0.7073,                0.78678,                 0.7321,                 0.4261,                0.71775,                0.79841,                0.73386,                0.47111,                 1.0917,                 1.5299,                 1.5328,                 1.6762,              0.0017624,              0.0017624,              0.0017624
                      5,                0.94483,                 1.7177,                 1.0686,                 1.2467,                0.74679,                0.72093,                0.81637,                0.56212,                0.74679,                0.72093,                0.81636,                0.63567,                 1.1076,                 1.0436,                 1.5157,                 1.5755,              0.0017624,              0.0017624,              0.0017624
                      6,                0.91167,                 1.7363,                 1.0029,                 1.2146,                0.83542,                0.82632,                0.90687,                0.66059,                0.81212,                 0.8042,                0.86913,                0.63155,                0.86239,                 1.6634,                 1.1078,                 1.3312,              0.0016832,              0.0016832,              0.0016832
                      7,                0.89513,                 1.7392,                0.92752,                 1.2018,                0.88083,                0.85946,                0.89719,                0.71706,                0.88567,                0.81069,                 0.8927,                0.70533,                0.74538,                 1.4637,                 1.0458,                 1.1605,               0.001604,               0.001604,               0.001604
                      8,                0.84889,                 1.6253,                0.84783,                 1.1621,                 0.9055,                0.77991,                0.90703,                0.76561,                0.88571,                0.81395,                0.92131,                0.79608,                0.61279,                0.88579,                0.86495,                 1.0925,              0.0015248,              0.0015248,              0.0015248
                      9,                0.79574,                  1.503,                0.81751,                 1.1414,                0.83883,                0.90779,                0.91088,                0.69616,                0.83883,                0.90779,                0.91088,                0.72109,                0.81414,                  1.127,                 1.0052,                 1.3106,              0.0014456,              0.0014456,              0.0014456
                     10,                0.77752,                 1.5726,                0.79563,                 1.1254,                0.94625,                0.89535,                0.95647,                0.79999,                0.94625,                0.89535,                0.95647,                0.86733,                0.63381,                0.73406,                0.63391,                 1.0971,              0.0013664,              0.0013664,              0.0013664
